target,role,tier,stat,mlbam_id,name,age,prior_pa,target_pa,pred,actual,q10,q90
2021,P,tier2,fip,665152,Dean Kremer,25.0,83.0,245.0,4.490832036869882,7.039399418307641,3.6359312402127966,5.376748146898042
2021,P,tier2,fip,502171,Alex Cobb,33.0,226.0,392.0,5.331327144462026,2.973095070481554,4.777045517190698,5.873704672836794
2021,P,tier2,fip,661403,Emmanuel Clase,23.0,0.0,275.0,4.0882390751361655,2.028136082101513,3.319770726153308,4.859002394401317
2021,P,tier2,fip,642121,Cole Sulser,31.0,97.0,256.0,5.043438664881381,3.030049957699599,4.305368610420862,5.749172813083811
2021,P,tier2,fip,624133,Ranger Suarez,25.0,26.0,412.0,4.663500940935987,2.681787792853522,4.0593201301595085,5.317619841628787
2021,P,tier2,fip,675916,James Karinchak,25.0,107.0,235.0,2.3874689211332107,4.3580778587775955,1.5278065128735014,3.2376211167017432
2021,P,tier2,fip,543521,Collin McHugh,34.0,0.0,244.0,3.9933822173031857,2.0788986419101256,3.3815254497285783,4.57586222696299
2021,P,tier2,fip,607074,Carlos Rodón,28.0,35.0,529.0,4.5401779959441395,2.6768100740709295,3.9028442606205194,5.1753796423050655
2021,P,tier2,fip,670280,David Bednar,26.0,32.0,235.0,4.5030198512686965,2.64260056498705,3.763618646471998,5.256181647345376
2021,P,tier2,fip,656302,Dylan Cease,25.0,253.0,707.0,5.229301316563639,3.454936116759221,4.672279823237878,5.775907619473628
2021,P,tier2,fip,608665,Kendall Graveman,30.0,77.0,221.0,4.946752786087297,3.1838093561958396,4.359598311601053,5.561628759661871
2021,P,tier2,fip,623149,Paul Sewald,31.0,35.0,258.0,4.624115319433017,2.894781373868888,3.983229024709507,5.289704234324705
2021,P,tier2,fip,623167,Chris Flexen,26.0,0.0,741.0,5.666321900439528,3.937519931334986,4.886343286811667,6.453425742863919
2021,P,tier2,fip,642528,Jonathan Loáisiga,26.0,97.0,281.0,4.3265487859112755,2.625184019268616,3.658572817930558,4.9727389447751476
2021,P,tier2,fip,605280,Clay Holmes,28.0,6.0,289.0,4.927916374177274,3.2480950704815537,4.269257417994767,5.6073196272099395
