tier,role,target,stat,age_bucket,pt_bucket,history_bucket,n,mean_error,rmse,cov80
marcel,H,2024,bb_pct,25-27,150-400,3+,13,0.007125196706948127,0.013597515518365596,
marcel,H,2024,bb_pct,25-27,<150,1,12,0.0036677990544051486,0.023053308525624386,
marcel,H,2024,bb_pct,25-27,<150,2,8,0.0005998690816344469,0.029327323829719427,
marcel,H,2024,bb_pct,25-27,<150,3+,8,0.0023340781140814017,0.01119660949466235,
marcel,H,2024,bb_pct,25-27,>400,1,2,0.0004976985962503932,0.016318668886666065,
marcel,H,2024,bb_pct,25-27,>400,2,15,0.007249734013754336,0.019532005248641553,
marcel,H,2024,bb_pct,25-27,>400,3+,37,-0.00013174074857567457,0.017934234757563967,
marcel,H,2024,bb_pct,28-30,150-400,2,3,0.003260179377986146,0.015236883271080795,
marcel,H,2024,bb_pct,28-30,150-400,3+,32,0.0047230988825819505,0.018122040133338374,
marcel,H,2024,bb_pct,28-30,<150,1,1,-0.018330974911642248,0.018330974911642248,
marcel,H,2024,bb_pct,28-30,<150,2,1,-0.01390952574456178,0.01390952574456178,
marcel,H,2024,bb_pct,28-30,<150,3+,4,0.023270936156584952,0.028645966838102548,
marcel,H,2024,bb_pct,28-30,>400,1,1,0.001659001761855003,0.001659001761855003,
marcel,H,2024,bb_pct,28-30,>400,2,1,-0.012054305007121735,0.012054305007121735,
marcel,H,2024,bb_pct,28-30,>400,3+,47,0.00429400087795872,0.016515623791931063,
marcel,H,2024,bb_pct,31-33,150-400,2,1,-0.017554258689485056,0.017554258689485056,
marcel,H,2024,bb_pct,31-33,150-400,3+,18,0.0017020953943496296,0.02025244467704066,
marcel,H,2024,bb_pct,31-33,<150,1,1,-0.02093696435018355,0.02093696435018355,
marcel,H,2024,bb_pct,31-33,<150,2,1,-0.000781052656252515,0.000781052656252515,
marcel,H,2024,bb_pct,31-33,>400,2,2,0.010764990823732314,0.014774878549079077,
marcel,H,2024,bb_pct,31-33,>400,3+,40,0.002213420128277583,0.017266272787330738,
marcel,H,2024,bb_pct,<=24,150-400,1,4,0.02050997209169038,0.02250463018167034,
marcel,H,2024,bb_pct,<=24,150-400,2,6,0.007981635764520548,0.024030882520551244,
marcel,H,2024,bb_pct,<=24,<150,1,14,0.01158145719771883,0.030204954486396724,
marcel,H,2024,bb_pct,<=24,<150,2,3,0.00953482644148159,0.013013364589531043,
marcel,H,2024,bb_pct,<=24,>400,1,3,0.006692004879859667,0.019491275037295464,
marcel,H,2024,bb_pct,<=24,>400,2,13,-0.000140252755533599,0.014675823422313983,
marcel,H,2024,bb_pct,<=24,>400,3+,3,0.014964650746297593,0.016903414424786194,
marcel,H,2024,bb_pct,>=34,150-400,3+,10,0.0016414881065931893,0.0080920884482952,
marcel,H,2024,bb_pct,>=34,<150,2,1,0.011146382303034136,0.011146382303034136,
marcel,H,2024,bb_pct,>=34,>400,3+,22,0.0015208936176743782,0.021212718956497928,
marcel,H,2021,hr_pct,25-27,150-400,1,1,-0.004426689711897025,0.004426689711897025,
marcel,H,2021,hr_pct,25-27,150-400,2,7,0.007034665718791747,0.009401723185130323,
marcel,H,2021,hr_pct,25-27,150-400,3+,37,0.0003486751371500534,0.012010428710009995,
marcel,H,2021,hr_pct,25-27,<150,1,11,0.00453770664491627,0.013244638155267155,
marcel,H,2021,hr_pct,25-27,<150,2,22,0.005105541838984424,0.012050618091251184,
marcel,H,2021,hr_pct,25-27,<150,3+,25,0.0029240362845479252,0.014056237271200409,
marcel,H,2021,hr_pct,28-30,150-400,1,1,0.007938793256426439,0.007938793256426439,
marcel,H,2021,hr_pct,28-30,150-400,2,2,0.0013101770388490367,0.004800432691708913,
marcel,H,2021,hr_pct,28-30,150-400,3+,55,0.0029195327515907357,0.012821474873313839,
marcel,H,2021,hr_pct,28-30,<150,1,3,-0.004327977357016669,0.012198276463591695,
marcel,H,2021,hr_pct,28-30,<150,2,12,-0.004237441780178541,0.014647756854432866,
marcel,H,2021,hr_pct,28-30,<150,3+,37,0.00042281420681779345,0.014590424748750693,
marcel,H,2021,hr_pct,31-33,150-400,2,3,-0.01159193053490526,0.0174530006685371,
marcel,H,2021,hr_pct,31-33,150-400,3+,41,0.001253299372417288,0.013159540420388671,
marcel,H,2021,hr_pct,31-33,<150,1,1,0.0032644414926234627,0.0032644414926234627,
marcel,H,2021,hr_pct,31-33,<150,2,1,0.006702172583165331,0.006702172583165331,
marcel,H,2021,hr_pct,31-33,<150,3+,21,0.0059762449487222105,0.010683203393796107,
marcel,H,2021,hr_pct,<=24,150-400,1,2,0.00753918238566925,0.010371921558188873,
marcel,H,2021,hr_pct,<=24,150-400,2,5,-0.011082197713366364,0.02092842017614433,
marcel,H,2021,hr_pct,<=24,150-400,3+,6,0.002379088810217877,0.018515475630751153,
marcel,H,2021,hr_pct,<=24,<150,1,12,0.0018910655193191128,0.014793254553060815,
marcel,H,2021,hr_pct,<=24,<150,2,9,0.0059038116484185004,0.009704435167404603,
marcel,H,2021,hr_pct,<=24,<150,3+,2,-0.011876385579641057,0.013157925684920024,
marcel,H,2021,hr_pct,>=34,150-400,3+,19,0.0010336192618443534,0.015163094784081118,
marcel,H,2021,hr_pct,>=34,<150,1,2,-0.002884888317812688,0.009897561772294129,
marcel,H,2021,hr_pct,>=34,<150,2,4,-0.007516847641140617,0.013778673044214793,
marcel,H,2021,hr_pct,>=34,<150,3+,4,-0.004241369693314089,0.013325775428313435,
marcel,H,2022,hr_pct,25-27,150-400,1,7,0.007263745565021954,0.009617265429878124,
marcel,H,2022,hr_pct,25-27,150-400,2,8,0.003152238718187508,0.009889248188676059,
marcel,H,2022,hr_pct,25-27,150-400,3+,23,0.0030866691938107142,0.011723359072802728,
marcel,H,2022,hr_pct,25-27,<150,1,9,0.003459480553592224,0.020015184029932732,
marcel,H,2022,hr_pct,25-27,<150,2,3,0.01040600547440172,0.018487900417049976,
marcel,H,2022,hr_pct,25-27,<150,3+,6,0.005623851613536128,0.010377231025134276,
marcel,H,2022,hr_pct,25-27,>400,1,1,0.011006998532190799,0.011006998532190799,
marcel,H,2022,hr_pct,25-27,>400,2,4,0.007527924188071975,0.011461556014563869,
marcel,H,2022,hr_pct,25-27,>400,3+,40,0.005140070250648731,0.010504225774405757,
marcel,H,2022,hr_pct,28-30,150-400,2,4,0.009546344664569937,0.014570981719198267,
marcel,H,2022,hr_pct,28-30,150-400,3+,29,0.006331659333434833,0.011964338504951332,
marcel,H,2022,hr_pct,28-30,<150,1,1,0.0039288629954472715,0.0039288629954472715,
marcel,H,2022,hr_pct,28-30,<150,2,2,0.024221511137678745,0.024476791036667788,
marcel,H,2022,hr_pct,28-30,<150,3+,5,-0.004010551088068244,0.017644048468439314,
